Type,Sub-Type,Detail
Bad Practice,Move file,"This file ""DeDupExampleTest.java"" should be located in ""com/google/cloud/dataflow/examples/cookbook"" directory, not in ""/Apache_Beam/examples/java/src/test/java/org/apache/beam/examples/cookbook""."
Bad Practice,Move file,"This file ""DebuggingWordCount.java"" should be located in ""com/google/cloud/dataflow/examples"" directory, not in ""/Apache_Beam/examples/java/src/main/java/org/apache/beam/examples""."
Bad Practice,Move file,"This file ""DebuggingWordCountTest.java"" should be located in ""com/google/cloud/dataflow/examples"" directory, not in ""/Apache_Beam/examples/java/src/test/java/org/apache/beam/examples""."
Bad Practice,Move file,"This file ""Default.java"" should be located in ""com/google/cloud/dataflow/sdk/options"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/options""."
Bad Practice,Move file,"This file ""DefaultCoder.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DefaultCoderTest.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DefaultTrigger.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/windowing"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms/windowing""."
Bad Practice,Move file,"This file ""DefaultTriggerTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/windowing"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/windowing""."
Bad Practice,Move file,"This file ""DefaultValueFactory.java"" should be located in ""com/google/cloud/dataflow/sdk/options"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/options""."
Bad Practice,Move file,"This file ""DelegateCoder.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DelegateCoderTest.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""Description.java"" should be located in ""com/google/cloud/dataflow/sdk/options"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/options""."
Bad Practice,Move file,"This file ""DeterministicStandardCoder.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DirectModeExecutionContext.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""DirectPipeline.java"" should be located in ""com/google/cloud/dataflow/sdk/runners"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners""."
Bad Practice,Move file,"This file ""DirectPipelineOptions.java"" should be located in ""com/google/cloud/dataflow/sdk/options"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/options""."
Bad Practice,Move file,"This file ""DirectPipelineRegistrar.java"" should be located in ""com/google/cloud/dataflow/sdk/runners"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners""."
Bad Practice,Move file,"This file ""DirectPipelineRegistrarTest.java"" should be located in ""com/google/cloud/dataflow/sdk/runners"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/runners""."
Bad Practice,Move file,"This file ""DirectPipelineRunner.java"" should be located in ""com/google/cloud/dataflow/sdk/runners"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners""."
Bad Practice,Move file,"This file ""DirectPipelineRunnerTest.java"" should be located in ""com/google/cloud/dataflow/sdk/runners"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/runners""."
Bad Practice,Move file,"This file ""DirectPipelineTest.java"" should be located in ""com/google/cloud/dataflow/sdk/runners"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/runners""."
Bad Practice,Move file,"This file ""DirectSideInputReader.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""DisplayData.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/display"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms/display""."
Bad Practice,Move file,"This file ""DisplayDataMatchers.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/display"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/display""."
Bad Practice,Move file,"This file ""DisplayDataMatchersTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/display"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/display""."
Bad Practice,Move file,"This file ""DisplayDataTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/display"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/display""."
Bad Practice,Move file,"This file ""DoFn.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnContextTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnDelegatingAggregatorTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnInfo.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""DoFnReflector.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnReflectorTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnRunner.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""DoFnRunnerBase.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""DoFnRunners.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""DoFnTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnTester.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnTesterTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnWithContext.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoFnWithContextTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""DoubleCoder.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DoubleCoderTest.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DurationCoder.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""DurationCoderTest.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""ElementByteSizeObservable.java"" should be located in ""com/google/cloud/dataflow/sdk/util/common"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util/common""."
Bad Practice,Move file,"This file ""ElementByteSizeObservableIterable.java"" should be located in ""com/google/cloud/dataflow/sdk/util/common"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util/common""."
Bad Practice,Move file,"This file ""ElementByteSizeObservableIterator.java"" should be located in ""com/google/cloud/dataflow/sdk/util/common"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util/common""."
Bad Practice,Move file,"This file ""ElementByteSizeObserver.java"" should be located in ""com/google/cloud/dataflow/sdk/util/common"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util/common""."
Bad Practice,Move file,"This file ""EmptyTransformEvaluator.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""EncodabilityEnforcementFactory.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""EncodabilityEnforcementFactoryTest.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""EntityCoder.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""EntityCoderTest.java"" should be located in ""com/google/cloud/dataflow/sdk/coders"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/coders""."
Bad Practice,Move file,"This file ""EvaluatorKey.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""ExampleBigQueryTableOptions.java"" should be located in ""com/google/cloud/dataflow/examples/common"" directory, not in ""/Apache_Beam/examples/java/src/main/java/org/apache/beam/examples/common""."
Bad Practice,Move file,"This file ""ExamplePubsubTopicAndSubscriptionOptions.java"" should be located in ""com/google/cloud/dataflow/examples/common"" directory, not in ""/Apache_Beam/examples/java/src/main/java/org/apache/beam/examples/common""."
Bad Practice,Move file,"This file ""ExamplePubsubTopicOptions.java"" should be located in ""com/google/cloud/dataflow/examples/common"" directory, not in ""/Apache_Beam/examples/java/src/main/java/org/apache/beam/examples/common""."
Bad Practice,Move file,"This file ""ExecutableTrigger.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""ExecutableTriggerTest.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""ExecutionContext.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""ExecutorServiceFactory.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""ExecutorServiceParallelExecutor.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""ExpectedLogs.java"" should be located in ""com/google/cloud/dataflow/sdk/testing"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/testing""."
Bad Practice,Move file,"This file ""ExpectedLogsTest.java"" should be located in ""com/google/cloud/dataflow/sdk/testing"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/testing""."
Bad Practice,Move file,"This file ""ExposedByteArrayInputStream.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""ExposedByteArrayInputStreamTest.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""ExposedByteArrayOutputStream.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""ExposedByteArrayOutputStreamTest.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FastNanoClockAndSleeper.java"" should be located in ""com/google/cloud/dataflow/sdk/testing"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/testing""."
Bad Practice,Move file,"This file ""FastNanoClockAndSleeperTest.java"" should be located in ""com/google/cloud/dataflow/sdk/testing"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/testing""."
Bad Practice,Move file,"This file ""FileBasedSink.java"" should be located in ""com/google/cloud/dataflow/sdk/io"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/io""."
Bad Practice,Move file,"This file ""FileBasedSinkTest.java"" should be located in ""com/google/cloud/dataflow/sdk/io"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/io""."
Bad Practice,Move file,"This file ""FileBasedSource.java"" should be located in ""com/google/cloud/dataflow/sdk/io"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/io""."
Bad Practice,Move file,"This file ""FileBasedSourceTest.java"" should be located in ""com/google/cloud/dataflow/sdk/io"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/io""."
Bad Practice,Move file,"This file ""FileIOChannelFactory.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FileIOChannelFactoryTest.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""Filter.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FilterExamples.java"" should be located in ""com/google/cloud/dataflow/examples/cookbook"" directory, not in ""/Apache_Beam/examples/java/src/main/java/org/apache/beam/examples/cookbook""."
Bad Practice,Move file,"This file ""FilterExamplesTest.java"" should be located in ""com/google/cloud/dataflow/examples/cookbook"" directory, not in ""/Apache_Beam/examples/java/src/test/java/org/apache/beam/examples/cookbook""."
Bad Practice,Move file,"This file ""FilterJava8Test.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/java8tests/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FilterTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FinishedTriggers.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FinishedTriggersBitSet.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FinishedTriggersBitSetTest.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FinishedTriggersProperties.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FinishedTriggersSet.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FinishedTriggersSetTest.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""FixedWindows.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/windowing"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms/windowing""."
Bad Practice,Move file,"This file ""FixedWindowsTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms/windowing"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms/windowing""."
Bad Practice,Move file,"This file ""FlatMapElements.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FlatMapElementsJava8Test.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/java8tests/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FlatMapElementsTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""Flatten.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FlattenEvaluatorFactory.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""FlattenEvaluatorFactoryTest.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""FlattenTest.java"" should be located in ""com/google/cloud/dataflow/sdk/transforms"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/transforms""."
Bad Practice,Move file,"This file ""FlattenizeITCase.java"" should be located in ""org/apache/beam/runners/flink"" directory, not in ""/Apache_Beam/runners/flink/src/test/java/com/dataartisans/flink/dataflow""."
Bad Practice,Move file,"This file ""FlinkAbstractParDoWrapper.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming""."
Bad Practice,Move file,"This file ""FlinkBatchPipelineTranslator.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkBatchTransformTranslators.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkBatchTranslationContext.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkCoGroupKeyedListAggregator.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkCreateFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkDoFnFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkGroupAlsoByWindowWrapper.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming""."
Bad Practice,Move file,"This file ""FlinkGroupByKeyWrapper.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming""."
Bad Practice,Move file,"This file ""FlinkKeyedListAggregationFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkMultiOutputDoFnFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkMultiOutputPruningFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkParDoBoundMultiWrapper.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming""."
Bad Practice,Move file,"This file ""FlinkParDoBoundWrapper.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming""."
Bad Practice,Move file,"This file ""FlinkPartialReduceFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkPipelineExecutionEnvironment.java"" should be located in ""org/apache/beam/runners/flink"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow""."
Bad Practice,Move file,"This file ""FlinkPipelineOptions.java"" should be located in ""org/apache/beam/runners/flink"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow""."
Bad Practice,Move file,"This file ""FlinkPipelineRunner.java"" should be located in ""org/apache/beam/runners/flink"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow""."
Bad Practice,Move file,"This file ""FlinkPipelineTranslator.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkReduceFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/functions"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/functions""."
Bad Practice,Move file,"This file ""FlinkRunnerResult.java"" should be located in ""org/apache/beam/runners/flink"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow""."
Bad Practice,Move file,"This file ""FlinkStateInternals.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming/state"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming/state""."
Bad Practice,Move file,"This file ""FlinkStreamingCreateFunction.java"" should be located in ""org/apache/beam/runners/flink/translation/wrappers/streaming/io"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation/wrappers/streaming/io""."
Bad Practice,Move file,"This file ""FlinkStreamingPipelineTranslator.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkStreamingTransformTranslators.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkStreamingTranslationContext.java"" should be located in ""org/apache/beam/runners/flink/translation"" directory, not in ""/Apache_Beam/runners/flink/src/main/java/com/dataartisans/flink/dataflow/translation""."
Bad Practice,Move file,"This file ""FlinkTestPipeline.java"" should be located in ""org/apache/beam/runners/flink"" directory, not in ""/Apache_Beam/runners/flink/src/test/java/com/dataartisans/flink/dataflow""."
Bad Practice,Move file,"This file ""ForwardingPTransform.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""ForwardingPTransformTest.java"" should be located in ""com/google/cloud/dataflow/sdk/runners/inprocess"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/runners/inprocess""."
Bad Practice,Move file,"This file ""GameStats.java"" should be located in ""com/google/cloud/dataflow/examples/complete/game"" directory, not in ""/Apache_Beam/examples/java8/src/main/java/org/apache/beam/examples/complete/game""."
Bad Practice,Move file,"This file ""GameStatsTest.java"" should be located in ""com/google/cloud/dataflow/examples/complete/game"" directory, not in ""/Apache_Beam/examples/java8/src/test/java/org/apache/beam/examples/complete/game""."
Bad Practice,Move file,"This file ""GcpCredentialFactory.java"" should be located in ""com/google/cloud/dataflow/sdk/util"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/util""."
Bad Practice,Move file,"This file ""GcpOptions.java"" should be located in ""com/google/cloud/dataflow/sdk/options"" directory, not in ""/Apache_Beam/sdks/java/core/src/main/java/org/apache/beam/sdk/options""."
Bad Practice,Move file,"This file ""GcpOptionsTest.java"" should be located in ""com/google/cloud/dataflow/sdk/options"" directory, not in ""/Apache_Beam/sdks/java/core/src/test/java/org/apache/beam/sdk/options""."
